room_id,room_num,type,price,Branch_name,booking_count,total_revenue,avg_stay,cluster,cluster_name
3,443,Double,188.0,Luxor Nile Branch,0.0,0.0,0.0,0,3st (Cluster 3)
7,918,Family,228.0,Aswan View Branch,2.0,4483.959999999999,9.0,1,1st (Cluster 1)
8,834,Deluxe,289.0,Luxor Nile Branch,1.0,3179.72,11.0,2,2st (Cluster 2)
9,655,Twin,277.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
12,155,Twin,91.0,Luxor Nile Branch,2.0,1120.42,5.5,1,1st (Cluster 1)
14,112,Family,88.0,Aswan View Branch,1.0,848.96,8.0,1,1st (Cluster 1)
18,168,Family,235.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
19,636,Double,340.0,Aswan View Branch,1.0,4395.35,10.0,1,1st (Cluster 1)
22,401,Double,236.0,Mansoura Center Branch,1.0,819.28,3.0,1,1st (Cluster 1)
24,845,Double,72.0,Downtown Branch,2.0,1550.4399999999998,8.5,1,1st (Cluster 1)
26,489,Suite,258.0,Luxor Nile Branch,1.0,1460.71,6.0,2,2st (Cluster 2)
27,377,Single,350.0,Mansoura Center Branch,1.0,3803.78,11.0,1,1st (Cluster 1)
28,616,Single,184.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
30,526,Single,319.0,Aswan View Branch,2.0,2820.08,4.0,1,1st (Cluster 1)
31,197,Deluxe,320.0,Aswan View Branch,1.0,2130.74,6.0,2,2st (Cluster 2)
32,250,Double,213.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
34,332,Family,208.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
39,413,Twin,254.0,Downtown Branch,0.0,0.0,0.0,0,3st (Cluster 3)
41,718,Double,190.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
44,546,Double,134.0,Luxor Nile Branch,1.0,1700.77,14.0,1,1st (Cluster 1)
46,525,Single,210.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
47,630,Double,236.0,Aswan View Branch,1.0,2661.45,12.0,1,1st (Cluster 1)
48,150,Single,212.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
49,733,Family,177.0,Mansoura Center Branch,1.0,1482.34,9.0,1,1st (Cluster 1)
50,288,Twin,282.0,Aswan View Branch,1.0,511.17,2.0,1,1st (Cluster 1)
51,199,Deluxe,138.0,Aswan View Branch,1.0,1293.19,7.0,2,2st (Cluster 2)
52,954,Suite,142.0,Mansoura Center Branch,1.0,1649.37,10.0,2,2st (Cluster 2)
57,418,Double,74.0,Aswan View Branch,2.0,1446.72,8.0,1,1st (Cluster 1)
58,642,Single,203.0,Luxor Nile Branch,0.0,0.0,0.0,0,3st (Cluster 3)
60,717,Family,71.0,Aswan View Branch,2.0,1585.2,10.5,1,1st (Cluster 1)
62,641,Double,272.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
63,510,Single,325.0,Downtown Branch,1.0,3617.96,9.0,1,1st (Cluster 1)
65,689,Family,272.0,Aswan View Branch,1.0,1662.79,6.0,1,1st (Cluster 1)
67,328,Family,224.0,Downtown Branch,1.0,1040.66,5.0,1,1st (Cluster 1)
68,728,Deluxe,217.0,Aswan View Branch,1.0,1575.54,7.0,2,2st (Cluster 2)
70,773,Family,275.0,Aswan View Branch,1.0,942.68,3.0,1,1st (Cluster 1)
72,314,Family,112.0,Aswan View Branch,1.0,869.58,7.0,1,1st (Cluster 1)
75,630,Deluxe,176.0,Mansoura Center Branch,1.0,1149.79,5.0,2,2st (Cluster 2)
76,783,Twin,256.0,Luxor Nile Branch,1.0,3015.23,9.0,1,1st (Cluster 1)
78,335,Family,175.0,Mansoura Center Branch,2.0,2692.75,6.5,1,1st (Cluster 1)
79,704,Twin,326.0,Aswan View Branch,1.0,1533.42,5.0,1,1st (Cluster 1)
80,593,Twin,294.0,Aswan View Branch,1.0,2440.03,8.0,1,1st (Cluster 1)
81,845,Double,198.0,Aswan View Branch,2.0,1459.21,3.0,1,1st (Cluster 1)
83,672,Family,311.0,Downtown Branch,2.0,5403.9,9.0,1,1st (Cluster 1)
84,201,Twin,282.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
85,682,Single,321.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
86,684,Single,192.0,Aswan View Branch,2.0,4093.31,9.0,1,1st (Cluster 1)
92,110,Single,173.0,Mansoura Center Branch,1.0,1967.1,11.0,1,1st (Cluster 1)
93,265,Family,321.0,Aswan View Branch,2.0,2968.02,5.0,1,1st (Cluster 1)
94,663,Twin,81.0,Downtown Branch,1.0,564.51,7.0,1,1st (Cluster 1)
96,885,Single,206.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
97,907,Family,191.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
98,919,Deluxe,268.0,Downtown Branch,1.0,3540.72,11.0,2,2st (Cluster 2)
99,846,Family,301.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
100,631,Family,290.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
104,554,Family,247.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
105,357,Twin,227.0,Downtown Branch,2.0,5490.15,10.5,1,1st (Cluster 1)
106,173,Family,296.0,Luxor Nile Branch,0.0,0.0,0.0,0,3st (Cluster 3)
108,137,Twin,119.0,Downtown Branch,1.0,1508.19,13.0,1,1st (Cluster 1)
109,778,Family,257.0,Downtown Branch,1.0,444.43,2.0,1,1st (Cluster 1)
113,139,Twin,229.0,Mansoura Center Branch,1.0,2508.98,10.0,1,1st (Cluster 1)
114,685,Twin,279.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
115,839,Twin,247.0,Luxor Nile Branch,0.0,0.0,0.0,0,3st (Cluster 3)
117,827,Family,231.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
123,152,Deluxe,308.0,Mansoura Center Branch,1.0,1524.25,5.0,2,2st (Cluster 2)
124,284,Family,287.0,Aswan View Branch,1.0,542.25,2.0,1,1st (Cluster 1)
125,893,Single,95.0,Aswan View Branch,1.0,1520.34,13.0,1,1st (Cluster 1)
126,707,Suite,193.0,Aswan View Branch,1.0,1788.75,7.0,2,2st (Cluster 2)
128,217,Double,314.0,Luxor Nile Branch,1.0,3494.5,11.0,1,1st (Cluster 1)
129,152,Double,307.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
130,825,Deluxe,142.0,Aswan View Branch,2.0,2278.29,7.0,2,2st (Cluster 2)
131,379,Double,317.0,Mansoura Center Branch,2.0,4709.35,7.5,1,1st (Cluster 1)
134,695,Double,188.0,Aswan View Branch,1.0,1825.93,10.0,1,1st (Cluster 1)
135,411,Double,155.0,Luxor Nile Branch,0.0,0.0,0.0,0,3st (Cluster 3)
139,251,Single,79.0,Mansoura Center Branch,2.0,2300.12,11.5,1,1st (Cluster 1)
140,833,Twin,316.0,Aswan View Branch,1.0,1651.28,6.0,1,1st (Cluster 1)
141,192,Family,286.0,Aswan View Branch,2.0,2058.58,5.0,1,1st (Cluster 1)
146,814,Single,245.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
149,218,Double,225.0,Mansoura Center Branch,2.0,3421.12,6.0,1,1st (Cluster 1)
152,591,Deluxe,175.0,Mansoura Center Branch,2.0,2961.4700000000003,7.0,2,2st (Cluster 2)
154,782,Twin,145.0,Downtown Branch,1.0,1818.81,10.0,1,1st (Cluster 1)
157,885,Family,249.0,Luxor Nile Branch,1.0,456.8,2.0,1,1st (Cluster 1)
158,881,Family,156.0,Downtown Branch,0.0,0.0,0.0,0,3st (Cluster 3)
159,156,Twin,143.0,Downtown Branch,1.0,745.06,6.0,1,1st (Cluster 1)
160,536,Twin,250.0,Luxor Nile Branch,1.0,2564.24,11.0,1,1st (Cluster 1)
161,327,Family,318.0,Downtown Branch,2.0,5686.52,8.5,1,1st (Cluster 1)
162,472,Double,324.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
163,823,Twin,327.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
164,891,Single,149.0,Aswan View Branch,1.0,1202.67,6.0,1,1st (Cluster 1)
165,425,Double,173.0,Aswan View Branch,2.0,4473.32,12.5,1,1st (Cluster 1)
168,798,Double,183.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
169,844,Double,182.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
170,929,Family,255.0,Downtown Branch,1.0,3005.88,13.0,1,1st (Cluster 1)
174,371,Single,346.0,Mansoura Center Branch,1.0,959.36,3.0,1,1st (Cluster 1)
175,945,Single,241.0,Luxor Nile Branch,0.0,0.0,0.0,0,3st (Cluster 3)
177,211,Twin,253.0,Downtown Branch,0.0,0.0,0.0,0,3st (Cluster 3)
179,327,Family,139.0,Downtown Branch,1.0,329.37,2.0,1,1st (Cluster 1)
180,206,Double,315.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
181,113,Single,279.0,Aswan View Branch,2.0,3366.44,6.5,1,1st (Cluster 1)
182,514,Deluxe,158.0,Mansoura Center Branch,2.0,2693.97,9.0,2,2st (Cluster 2)
183,108,Double,313.0,Mansoura Center Branch,0.0,0.0,0.0,0,3st (Cluster 3)
185,206,Deluxe,167.0,Downtown Branch,1.0,1973.64,12.0,2,2st (Cluster 2)
187,239,Double,200.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
188,926,Family,286.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
189,177,Twin,215.0,Aswan View Branch,0.0,0.0,0.0,0,3st (Cluster 3)
